date;location_key;new_confirmed;new_tested;cumulative_confirmed;new_persons_vaccinated;cumulative_persons_vaccinated;mobility_retail_and_recreation;mobility_grocery_and_pharmacy;mobility_parks;mobility_transit_stations;mobility_workplaces;mobility_residential
17/02/2020;US;2.0;;26.0;;;6.0;0.0;28.0;-9.0;-24.0;5.0
18/02/2020;US;5.0;;31.0;;;0.0;-1.0;6.0;1.0;0.0;1.0
19/02/2020;US;3.0;;34.0;;;2.0;0.0;8.0;1.0;1.0;0.0
20/02/2020;US;1.0;;35.0;;;1.0;0.0;4.0;0.0;0.0;1.0
21/02/2020;US;5.0;;40.0;;;2.0;-2.0;4.0;1.0;0.0;0.0
22/02/2020;US;8.0;;48.0;;;7.0;3.0;23.0;5.0;4.0;-1.0
23/02/2020;US;0.0;;48.0;;;7.0;3.0;23.0;5.0;2.0;-1.0
24/02/2020;US;4.0;;52.0;;;2.0;1.0;9.0;1.0;3.0;0.0
25/02/2020;US;4.0;;56.0;;;4.0;1.0;9.0;2.0;2.0;0.0
26/02/2020;US;8.0;;64.0;;;7.0;2.0;5.0;3.0;2.0;-1.0
27/02/2020;US;5.0;;69.0;;;8.0;3.0;12.0;4.0;2.0;0.0
28/02/2020;US;4.0;;73.0;;;8.0;3.0;10.0;5.0;2.0;-1.0
29/02/2020;US;9.0;348.0;82.0;;;12.0;7.0;21.0;7.0;4.0;-2.0
01/03/2020;US;18.0;515.0;100.0;;;13.0;9.0;18.0;7.0;3.0;-1.0
02/03/2020;US;34.0;617.0;134.0;;;7.0;6.0;10.0;2.0;3.0;-1.0
03/03/2020;US;51.0;889.0;185.0;;;11.0;10.0;20.0;3.0;2.0;-1.0
04/03/2020;US;70.0;1203.0;255.0;;;8.0;6.0;17.0;2.0;3.0;-1.0
05/03/2020;US;77.0;1523.0;332.0;;;8.0;7.0;21.0;2.0;3.0;-1.0
06/03/2020;US;125.0;1772.0;457.0;;;5.0;3.0;12.0;2.0;2.0;-1.0
